artist,song,genre,year,danceability,energy,duration_ms,explicit,,,,,,,,,
Britney Spears,Oops!...I Did It Again,pop,2000,0.751,0.834,211160,FALSE,,,,,,,,,
blink-182,All The Small Things,"rock, pop",1999,0.434,0.897,167066,FALSE,,,,,,,,,
Faith Hill,Breathe,"pop, country",1999,0.529,0.496,250546,FALSE,,,,,,,,,
Bon Jovi,It's My Life,"rock, metal",2000,0.551,0.913,224493,FALSE,,,,,,,,,
*NSYNC,Bye Bye Bye,pop,2000,0.614,0.928,200560,FALSE,,,,,,,,,
Sisqo,Thong Song,"hip hop, pop, R&B",1999,0.706,0.888,253733,TRUE,,,,,,,,,
Eminem,The Real Slim Shady,hip hop,2000,0.949,0.661,284200,TRUE,,,,,,,,,
Robbie Williams,Rock DJ,"pop, rock",2000,0.708,0.772,258560,FALSE,,,,,,,,,
Destiny's Child,Say My Name,"pop, R&B",1999,0.713,0.678,271333,FALSE,,,,,,,,,
Modjo,Lady - Hear Me Tonight,Dance/Electronic,2001,0.72,0.808,307153,FALSE,,,,,,,,,
Gigi D'Agostino,L'Amour Toujours,pop,2011,0.617,0.728,238759,FALSE,,,,,,,,,
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,pop,1999,0.745,0.958,268863,FALSE,,,,,,,,,
Bomfunk MC's,Freestyler,pop,2000,0.822,0.922,306333,FALSE,,,,,,,,,
Sting,Desert Rose,"rock, pop",1999,0.586,0.659,285960,FALSE,,,,,,,,,
Melanie C,Never Be The Same Again,"pop, Dance/Electronic",1999,0.689,0.685,294200,FALSE,,,,,,,,,
Aaliyah,Try Again,"hip hop, pop, R&B",2002,0.797,0.622,284000,FALSE,,,,,,,,,
Anastacia,I'm Outta Love - Radio Edit,pop,1999,0.761,0.716,245400,FALSE,,,,,,,,,
Alice Deejay,Better Off Alone,pop,2000,0.671,0.88,214883,FALSE,,,,,,,,,
Gigi D'Agostino,The Riddle,pop,1999,0.74,0.876,285426,FALSE,,,,,,,,,
Dr. Dre,The Next Episode,hip hop,1999,0.922,0.909,161506,TRUE,,,,,,,,,
Linkin Park,In the End,"rock, metal",2000,0.556,0.864,216880,FALSE,,,,,,,,,
Tom Jones,Sexbomb,"rock, Folk/Acoustic, easy listening",1999,0.801,0.876,211893,FALSE,,,,,,,,,
Sonique,It Feels So Good,pop,2000,0.634,0.677,240866,FALSE,,,,,,,,,
M.O.P.,Cold as Ice,hip hop,2000,0.656,0.88,244466,TRUE,,,,,,,,,
Melanie C,I Turn To You,"pop, Dance/Electronic",1999,0.522,0.803,352173,FALSE,,,,,,,,,
Limp Bizkit,Take A Look Around,metal,2000,0.425,0.852,321040,FALSE,,,,,,,,,
Darude,Sandstorm,"pop, Dance/Electronic",2001,0.528,0.965,225493,FALSE,,,,,,,,,
Da Brat,What'chu Like (feat. Tyrese),"hip hop, pop, R&B",2000,0.879,0.681,221160,TRUE,,,,,,,,,
Moloko,The Time Is Now,"pop, Dance/Electronic",2000,0.682,0.743,318280,FALSE,,,,,,,,,
Chicane,Don't Give Up,Dance/Electronic,2016,0.644,0.72,210786,FALSE,,,,,,,,,
DMX,Party Up,"hip hop, pop",1999,0.51,0.931,268866,TRUE,,,,,,,,,
Debelah Morgan,Dance with Me,"pop, R&B",2000,0.85,0.674,220106,FALSE,,,,,,,,,
Madonna,Music,pop,2000,0.736,0.802,225973,FALSE,,,,,,,,,
Ruff Endz,No More,R&B,2000,0.839,0.641,242560,FALSE,,,,,,,,,
Britney Spears,Born to Make You Happy,pop,1999,0.633,0.922,243533,FALSE,,,,,,,,,
Montell Jordan,Get It On Tonite,"hip hop, pop, R&B",1999,0.813,0.491,276266,FALSE,,,,,,,,,
Kylie Minogue,Spinning Around,"pop, Dance/Electronic",2000,0.761,0.662,207866,FALSE,,,,,,,,,
JAY-Z,Big Pimpin',hip hop,1999,0.88,0.814,283066,TRUE,,,,,,,,,
LeAnn Rimes,I Need You,"pop, country",2001,0.478,0.736,229826,FALSE,,,,,,,,,
Avant,Separated,"pop, R&B",2000,0.798,0.48,255600,FALSE,,,,,,,,,
Enrique Iglesias,Be With You,"pop, latin",1999,0.683,0.866,219360,FALSE,,,,,,,,,
Toni Braxton,He Wasn't Man Enough,"pop, R&B",2000,0.739,0.947,261933,FALSE,,,,,,,,,
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,"hip hop, pop, R&B",2000,0.852,0.75,175893,FALSE,,,,,,,,,
Dr. Dre,Forgot About Dre,hip hop,1999,0.924,0.74,222293,TRUE,,,,,,,,,
Missy Elliott,Hot Boyz,"hip hop, pop, R&B",1998,0.727,0.445,215466,TRUE,,,,,,,,,
Backstreet Boys,Show Me the Meaning of Being Lonely,pop,1999,0.63,0.625,234960,FALSE,,,,,,,,,
Samantha Mumba,Gotta Tell You,pop,2018,0.729,0.632,201946,FALSE,,,,,,,,,
Mýa,Case Of The Ex (Whatcha Gonna Do),"pop, R&B",2000,0.772,0.688,236906,FALSE,,,,,,,,,
Mary Mary,Shackles (Praise You),R&B,2000,0.779,0.834,198346,FALSE,,,,,,,,,
Next,Wifey,"hip hop, pop, R&B",2004,0.829,0.652,243666,FALSE,,,,,,,,,
Janet Jackson,Doesn't Really Matter,"pop, R&B",2001,0.771,0.796,265026,FALSE,,,,,,,,,
Ricky Martin,She Bangs - English Version,"pop, latin",2000,0.63,0.95,280626,FALSE,,,,,,,,,
Jagged Edge,He Can't Love U,"hip hop, pop, R&B",2000,0.721,0.836,244053,FALSE,,,,,,,,,
Sisqo,Incomplete,"hip hop, pop, R&B",1999,0.746,0.443,274226,TRUE,,,,,,,,,
JAY-Z,I Just Wanna Love U (Give It 2 Me),hip hop,2000,0.8,0.922,227866,TRUE,,,,,,,,,
Mariah Carey,Thank God I Found You (feat. Joe & 98°),"pop, R&B",1999,0.348,0.532,257360,FALSE,,,,,,,,,
Baha Men,Who Let The Dogs Out,R&B,2000,0.869,0.887,198400,FALSE,,,,,,,,,
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)","pop, R&B",1999,0.854,0.543,243733,TRUE,,,,,,,,,
LeAnn Rimes,Can't Fight The Moonlight,"pop, country",2001,0.628,0.834,215506,FALSE,,,,,,,,,
Oasis,Go Let It Out,"Folk/Acoustic, rock",2000,0.408,0.849,278666,FALSE,,,,,,,,,
DJ Ötzi,Hey Baby (Radio Mix),"pop, easy listening, Dance/Electronic",2010,0.666,0.968,219240,FALSE,,,,,,,,,
P!nk,Most Girls,pop,2000,0.742,0.732,298960,FALSE,,,,,,,,,
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),"pop, R&B",2011,0.471,0.514,199480,FALSE,,,,,,,,,
Craig David,Fill Me In,"hip hop, pop, R&B",2000,0.682,0.744,257200,FALSE,,,,,,,,,
Christina Aguilera,I Turn to You,pop,1999,0.599,0.47,273706,FALSE,,,,,,,,,
Madonna,American Pie,pop,2000,0.631,0.734,273533,FALSE,,,,,,,,,
Red Hot Chili Peppers,Otherside,rock,1999,0.458,0.795,255373,FALSE,,,,,,,,,
Sammie,I Like It,"hip hop, pop, R&B",2000,0.826,0.656,251040,FALSE,,,,,,,,,
Craig David,7 Days,"hip hop, pop, R&B",2000,0.659,0.812,235133,FALSE,,,,,,,,,
Santana,Maria Maria (feat. The Product G&B),"rock, blues, latin",1999,0.777,0.601,261973,FALSE,,,,,,,,,
Kandi,Don't Think I'm Not,"pop, R&B",2000,0.859,0.622,243533,FALSE,,,,,,,,,
P!nk,There You Go,pop,2000,0.822,0.847,202800,FALSE,,,,,,,,,
Vengaboys,Shalala Lala,pop,2000,0.751,0.901,214819,FALSE,,,,,,,,,
Ronan Keating,Life Is A Rollercoaster,"pop, rock",2000,0.655,0.791,234826,FALSE,,,,,,,,,
Madison Avenue,Don't Call Me Baby,Dance/Electronic,1999,0.808,0.982,228140,FALSE,,,,,,,,,
Destiny's Child,"Jumpin', Jumpin'","pop, R&B",1999,0.771,0.685,230200,FALSE,,,,,,,,,
Céline Dion,That's the Way It Is,pop,1999,0.634,0.886,241373,FALSE,,,,,,,,,
3 Doors Down,Kryptonite,"pop, rock, metal",2000,0.545,0.865,233933,FALSE,,,,,,,,,
Carl Thomas,I Wish,"pop, R&B",2000,0.736,0.666,226760,FALSE,,,,,,,,,
Mystikal,Shake Ya Ass,"hip hop, pop",2000,0.914,0.607,256973,TRUE,,,,,,,,,
Fuel,Hemorrhage (In My Hands),"rock, pop, metal",2000,0.313,0.831,236866,FALSE,,,,,,,,,
Donell Jones,Where I Wanna Be,"pop, R&B",1999,0.664,0.396,253626,FALSE,,,,,,,,,
Savage Garden,Crash and Burn,pop,1999,0.581,0.607,281466,FALSE,,,,,,,,,
Westlife,My Love,pop,2000,0.491,0.593,231760,FALSE,,,,,,,,,
All Saints,Pure Shores,pop,2000,0.631,0.664,268746,FALSE,,,,,,,,,
Destiny's Child,"Independent Women, Pt. 1","pop, R&B",2001,0.73,0.602,221133,FALSE,,,,,,,,,
*NSYNC,It's Gonna Be Me,pop,2000,0.644,0.874,191040,FALSE,,,,,,,,,
Erykah Badu,Bag Lady,"hip hop, R&B",2000,0.724,0.416,348893,FALSE,,,,,,,,,
Marc Anthony,You Sang To Me,"pop, latin",1999,0.578,0.894,347106,FALSE,,,,,,,,,
Matchbox Twenty,Bent,"pop, rock",2000,0.518,0.83,256133,FALSE,,,,,,,,,
Gabrielle,Rise,"pop, R&B",2001,0.558,0.481,219093,FALSE,,,,,,,,,
Backstreet Boys,Shape of My Heart,pop,2000,0.575,0.786,230093,FALSE,,,,,,,,,
Creed,With Arms Wide Open,"pop, rock, metal",1999,0.41,0.539,274800,FALSE,,,,,,,,,
The Corrs,Breathless,"pop, Folk/Acoustic",2000,0.607,0.82,207506,FALSE,,,,,,,,,
Joe,I Wanna Know,"pop, R&B",2000,0.725,0.487,296693,FALSE,,,,,,,,,
Wheatus,Teenage Dirtbag,set(),1999,0.625,0.85,241666,TRUE,,,,,,,,,
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,pop,1999,0.829,0.915,203333,FALSE,,,,,,,,,
Creed,Higher,"pop, rock, metal",1999,0.459,0.83,316733,FALSE,,,,,,,,,
Britney Spears,Lucky,pop,2000,0.765,0.791,206226,FALSE,,,,,,,,,
Nelly,Country Grammar (Hot Shit),"hip hop, pop, R&B",2000,0.865,0.664,287000,TRUE,,,,,,,,,
Shaggy,It Wasn't Me,"hip hop, pop",2000,0.853,0.606,227600,FALSE,,,,,,,,,
Destiny's Child,Survivor,"pop, R&B",2001,0.514,0.911,254026,FALSE,,,,,,,,,
Eminem,Stan,hip hop,2000,0.78,0.768,404106,TRUE,,,,,,,,,
Kylie Minogue,Can't Get You out of My Head,"pop, Dance/Electronic",2001,0.766,0.563,230640,FALSE,,,,,,,,,
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",pop,2001,0.76,0.801,264893,FALSE,,,,,,,,,
Nelly Furtado,I'm Like A Bird,"hip hop, pop, latin",2000,0.622,0.608,243160,FALSE,,,,,,,,,
Shakira,"Whenever, Wherever","pop, latin",2001,0.794,0.832,196160,FALSE,,,,,,,,,
Jimmy Eat World,The Middle,"rock, pop",2001,0.643,0.849,165853,FALSE,,,,,,,,,
Train,Drops of Jupiter (Tell Me),pop,2001,0.481,0.638,259933,FALSE,,,,,,,,,
Geri Halliwell,It's Raining Men,pop,2001,0.637,0.929,254640,FALSE,,,,,,,,,
Blu Cantrell,Hit 'Em Up Style (Oops!),"pop, R&B",2001,0.667,0.773,250706,FALSE,,,,,,,,,
Britney Spears,I'm a Slave 4 U,pop,2001,0.847,0.843,203600,FALSE,,,,,,,,,
Kylie Minogue,In Your Eyes,"pop, Dance/Electronic",2001,0.689,0.894,197826,FALSE,,,,,,,,,
Missy Elliott,One Minute Man (feat. Ludacris),"hip hop, pop, R&B",2001,0.622,0.669,252986,TRUE,,,,,,,,,
Mary J. Blige,Family Affair,"pop, R&B",2001,0.911,0.551,265866,FALSE,,,,,,,,,
Faithless,We Come 1 - Radio Edit,"pop, Dance/Electronic",2015,0.645,0.903,222435,FALSE,,,,,,,,,
Limp Bizkit,Rollin' (Air Raid Vehicle),metal,2000,0.603,0.933,213760,TRUE,,,,,,,,,
Lasgo,Something,pop,2001,0.643,0.981,220973,FALSE,,,,,,,,,
iio,Rapture (feat.Nadia Ali),Dance/Electronic,2006,0.661,0.855,253586,FALSE,,,,,,,,,
Emma Bunton,What Took You So Long?,pop,2001,0.668,0.772,241000,FALSE,,,,,,,,,
112,It's Over Now,"hip hop, pop, R&B",2001,0.66,0.71,264933,FALSE,,,,,,,,,
Blue,All Rise,pop,2001,0.721,0.737,223546,FALSE,,,,,,,,,
Jessica Simpson,Irresistible,"pop, R&B",2001,0.657,0.965,194026,FALSE,,,,,,,,,
Crazy Town,Butterfly,"rock, metal",1999,0.736,0.811,216733,FALSE,,,,,,,,,
Michael Jackson,You Rock My World,"pop, R&B",2001,0.854,0.673,337733,FALSE,,,,,,,,,
Eve,Let Me Blow Ya Mind,"hip hop, pop, R&B",2001,0.908,0.557,230133,TRUE,,,,,,,,,
Jennifer Lopez,Ain't It Funny,"hip hop, pop, R&B",2001,0.707,0.869,246160,FALSE,,,,,,,,,
Brandy,Another Day in Paradise - R&B-Version,"hip hop, pop, R&B",2002,0.7,0.787,271626,FALSE,,,,,,,,,
Nickelback,How You Remind Me,"rock, metal",2001,0.446,0.764,223840,FALSE,,,,,,,,,
Daft Punk,One More Time,"hip hop, Dance/Electronic",2001,0.613,0.697,320357,FALSE,,,,,,,,,
Outkast,Ms. Jackson,"hip hop, pop",2000,0.843,0.806,270506,TRUE,,,,,,,,,
Fragma,Everytime You Need Me - Radio Version,"pop, Dance/Electronic",2001,0.682,0.917,213346,FALSE,,,,,,,,,
Mariah Carey,Loverboy,"pop, R&B",2001,0.721,0.79,229173,FALSE,,,,,,,,,
Dido,Thank You,pop,1999,0.725,0.583,218360,FALSE,,,,,,,,,
